[2019-09-09 18:07:42,070]-[AAA]-[logger1]-[INFO]£º 1
[2019-09-09 18:08:12,071]-[AAA]-[logger1]-[INFO]£º 11
[2019-09-09 18:08:52,072]-[AAA]-[logger1]-[INFO]£º 111
[2019-09-09 18:08:52,073]-[AAA]-[logger2]-[INFO]£º test
[2019-09-09 18:08:52,073]-[AAA]-[logger2]-[INFO]£º test
[2019-09-09 18:08:52,074]-[AAA]-[logger2]-[INFO]£º test
[2019-09-09 18:08:52,074]-[AAA]-[logger2]-[INFO]£º test
[2019-09-09 18:08:52,074]-[AAA]-[logger2]-[INFO]£º test
[2019-09-09 18:08:52,075]-[BBB]-[logger3]-[INFO]£º 2
[2019-09-09 18:08:57,076]-[BBB]-[logger3]-[INFO]£º 22
[2019-09-09 18:09:02,076]-[BBB]-[logger3]-[INFO]£º 222
[2019-09-09 19:28:48,532]-[AAA]-[logger1]-[INFO]£º 1
[2019-09-09 19:29:18,534]-[AAA]-[logger1]-[INFO]£º 11
[2019-09-09 19:29:58,534]-[AAA]-[logger1]-[INFO]£º 111
[2019-09-09 19:29:58,535]-[AAA]-[logger2]-[INFO]£º test
[2019-09-09 19:29:58,535]-[AAA]-[logger2]-[INFO]£º test
[2019-09-09 19:29:58,535]-[AAA]-[logger2]-[INFO]£º test
[2019-09-09 19:29:58,536]-[AAA]-[logger2]-[INFO]£º test
[2019-09-09 19:29:58,536]-[AAA]-[logger2]-[INFO]£º test
[2019-09-09 19:29:58,537]-[BBB]-[logger3]-[INFO]£º 2
[2019-09-09 19:30:03,537]-[BBB]-[logger3]-[INFO]£º 22
[2019-09-09 19:30:08,538]-[BBB]-[logger3]-[INFO]£º 222
[2019-09-09 19:30:17,934]-[AAA]-[logger1]-[INFO]£º 1
[2019-09-09 19:30:28,429]-[AAA]-[logger1]-[INFO]£º 1
[2019-09-09 19:30:47,935]-[AAA]-[logger1]-[INFO]£º 11
[2019-09-09 19:30:58,429]-[AAA]-[logger1]-[INFO]£º 11
[2019-09-09 19:31:27,935]-[AAA]-[logger1]-[INFO]£º 111
[2019-09-09 19:31:38,430]-[AAA]-[logger1]-[INFO]£º 111
[2019-09-09 19:31:38,431]-[BBB]-[logger3]-[INFO]£º 2
[2019-09-09 19:31:43,431]-[BBB]-[logger3]-[INFO]£º 22
[2019-09-09 19:31:48,431]-[BBB]-[logger3]-[INFO]£º 222
